Timestamp,Your first name,Choose a candidate,"I would like candidates to write about their experiences (e.g. blog, writing columns in The Ubyssey) ",I think the AMS currently does enough consultation with students,I want more face-to-face time with elected candidates ,I think the AMS's most important job is engaging students,I value management experience in a candidate ,"I think it's a good thing for a candidate to have experience within a specific political party, even if they might have to lobby that party's opponents",I think the AMS should focus on lobbying for the Broadway subway line extension to UBC more than alternate transit fixes,I think that campaigns encouraging students to vote in the gov elections are valuable,I think candidates should have experience lobbying for student interests,I value the prioritization of diversity in every aspect of decision-making,I think the AMS should focus more on events,I'm in favour of repealing the arts language requirement,"I think Block Party should be bigger, at a bigger financial risk",I think that the AMS should explore more options for campus security.,I think that the AMS should prioritize eradicating bike theft,I think the AMS should prioritize getting more people out to Thunderbirds games,I value experience in creating and understanding university policies,I value a constant push for transparency within the bodies of UBC,I value a candidate that is well-versed in UBC's sexual assault policy,I think that the AMS should invest their money at a slightly higher risk for a larger financial gain,I think that extending the add-drop deadline would improve student mental health,I am satisfied with the current amount of mental health services on campus,I support continued advocacy for more athletics and recreation space on campus,I think current VP Finance Louis Retief has done a good job of managing the AMS's finances this year,I would like to see a quarterly report of the AMS's finances,I value a fresh perspective over relevant experience,It's important for my representatives to have close ties to the Greek system,I think student representation on Senate has been good this year,"It's important for my representatives to have prior AMS or constituency (AUS, EUS, etc.) experience",It's important for my representatives to have experience working with others,"I think a ""steady hand"" is more important than shaking things up"
3/4/2017 20:02:57,Sophie,Alim Lakhiyalov,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree
3/5/2017 9:20:54,Hana,Daniel Lam,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Strongly Agree,Neutral,Neutral,Neutral
3/5/2017 22:06:56,Samantha,Dario Garousian,Neutral,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Agree,Agree,Agree,Neutral,,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,,,Neutral,Neutral,,,Agree,Agree,,Disagree,Agree,Disagree
3/4/2017 21:31:19,Alex,Faraz Nikzad,Neutral,Disagree,Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Strongly Agree,Disagree
3/4/2017 21:55:35,Moira,Ian Sapollnik,Strongly Agree,,Neutral,Neutral,Strongly Agree,,Neutral,,Strongly Agree,Neutral,,Disagree,,,,,Strongly Agree,Agree,Neutral,,Agree,Disagree,,,,Disagree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
3/5/2017 21:44:41,Samantha,Jakob Gattinger,Agree,Strongly Disagree,Agree,Agree,Agree,,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,,,Disagree,Neutral,,Agree,Neutral,Disagree,Agree,Strongly Agree,Agree,Neutral
3/5/2017 14:55:09,Sruthi,James Cohen,Neutral,Strongly Disagree,Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Disagree,Agree,Disagree,Neutral,Neutral,Strongly Disagree,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Agree,Disagree
3/5/2017 21:38:39,Samantha,Jeanie Malone,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,,,Agree,Agree,Agree,Neutral,,,Neutral,,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,,Neutral,Disagree,,Agree,Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Agree
3/5/2017 21:58:27,Samantha,Jesse Hooton,Disagree,Disagree,Neutral,Neutral,Strongly Disagree,,Neutral,Neutral,Strongly Disagree,Agree,Disagree,,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Neutral,,Neutral,Agree,,Neutral,Strongly Agree,Disagree,Neutral,Strongly Disagree,Disagree,Disagree
3/5/2017 22:32:59,Peter,Julian Del Balso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2017 21:29:20,Alex,Julien Hart,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Neutral,Disagree,Agree,Strongly Disagree
3/5/2017 14:50:50,Samantha,Kevin Doering,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,,,Agree,Strongly Agree,Agree,Disagree,Disagree,,Neutral,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree
3/5/2017 14:40:40,Samantha,Louis Retief,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,,Neutral,Agree,Agree,Agree,Disagree,,Disagree,Agree,Disagree,,Agree,Strongly Agree,Agree,Strongly Agree,,,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,,Strongly Agree,Strongly Agree,Strongly Agree
3/4/2017 21:24:37,Alex,Pooja Bhatti,Neutral,Disagree,Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree
